Title,Subject,grade,section,lessons,Field 5,File,ID
Evaluating Number Expressions,MATH,5,Equations and Inequalities,Evaluate number expressions,https://drive.google.com/file/d/10FgRvi2GNV2iuRIfgcPotEQzKJyT7q2B/view?usp=share_link,Evaluating Number Expressions.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/p0lAllGq0t96bQBHemNviA/K440ZPLMUqBJ5VmPiJ_HDHJCY2NbDbuBTzgrkk6xnCJEQNA1sLv1GlE5CWi6EhilxBjj58aInXcnS4hkQiV39nGtEWSfWTGy9oiVDUr1K1gK1aTGH8EF92xFlcHVFerv/YxIcOjIiMHlLNZa2ONedryoWe7Wk4EunSi7woNXsAf0),18
Using question Words What and Where,Language,K,Parts of Speech,"Use the Question Words ""What"" and ""Where""",https://drive.google.com/file/d/10m9yq6mf5pMDCuVF9PZ776I5fgA-5LxC/view?usp=sharing,Using question Words What and Where.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/xDpMLstl2qFx3vkpDFWyBg/TNq5JrK86X0Qc0F40Tw6PThtmBz2DXzjIN-KL4w7h945_3YQ3m4X8I1gbBth5xiYNI7ssZGBtHh3CxIBuRQz0fowJdbIi9f9s3uqS7QzQ8iXC3K9jjfCHObwUuoDR-pq/4HpIaF2vV71IrGoDh0hUFphhjXVZsPIV31Qa8eJ4XoQ),19
Identifying Action Verbs,Language,1,Parts of Speech,Identify the Action Verb in a Sentence,https://drive.google.com/file/d/10N4d_qVuN40W7On-gM0n1fiHiHSZemI8/view?usp=sharing,Identifying Action Verbs.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/rTiV4_EVUeqv0ra7GbQROg/A13ZABoRMyfvHr1ot_FHbwMNVxaGUerQZW9OmhOWdlUKyv_jfzmErEyYkMgOW1XBAGx8BPast2gt9TpGjKAYjuliZ1YGJ4JIpAyLy96d_fCo84095wJBMZkSZj4i_arr/AkU_8R-_C6LfJNe5oh5zx7Sc7jJaNqXr6LrlmD-M27I),20
Identifying shapes,MATH,1,Geometry,Identify shapes,https://drive.google.com/file/d/10P6NVFao5C8-Xi8rga5VUInT8CdBiDG0/view?usp=share_link,Identifying shapes.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/jJjPG88iqW90QXAK8ZQSwQ/xVJNVsu7v-jbXe3eXQea4GnmljkKGIKsYGuwZHrCMakNx1hB_bvQMOJau2K81PP0v8LsuDVz11TUq1e2gfH3yM4Ap3x9XWW8U0IgrbBbTA8/3VxRKVxtGC1BrxXOXRsyH7NaYXRfxwpx-NKlYc1RLd8),21
Creating 2D Shapes,MATH,1,Geometry,Create 2D composite shapes,https://drive.google.com/file/d/10sLSKuGrfVpKcvjduhhqJPXAdN-I4M75/view?usp=share_link,Creating 2D Shapes.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/i_fgLok9dgokdH51tbGVig/-ZCPS8Umwvh-J1gOaw4Az4If7vAJJjMQDJODc00gh7oDIkSgUdixW7iAhFNeQyMn173glAsdoQVi3zCEgEhGn6fJBnYS2R0PI0TYLKLapDc/BUL2-l_GdYqjU0WslZ9Qm_rNWVas-P4y2qeGtsqfLQc),22
"Let's learn about the Months
",MATH,1,Life Skills,Learn the order of the months Part 1,https://drive.google.com/file/d/10VpOJT7LEv6-CYTcVT5JPjaV71kQ3GeU/view?usp=share_link,Let's learn about the Months.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/xdhqJGCAGkuNsK6eSKBR9g/vXTF7lEyvWTL_IsSojNxp6n-RasHR0GVlC_g7tQOZSdty3TdGbxBKY3ohwJphcT7-G7l5hgTC5QdiLdAHE5g58Uir3WVEyxPjY8CxBV_NDodIh5B_1amd53rGU-keZrZ/b3QKPQXizB7HPDTBanCTtWO1UVA-ODd2kgVDgI6qiEg),23
Counting Blocks 0 to 20,MATH,0,Counting 0 to 20,Count blocks that are arranged differently,https://drive.google.com/file/d/10wyoBRlDHF6P2JxucHXut0aVPUT5n006/view?usp=share_link,Counting Blocks 0 to 20.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/kCw8mZH2DTOxl0zDDdcPjw/10IemwqXbxb4u9J8S_aJj_WeAglB_sfdnIjmR7KKnDB8DWqK5RVJf0OSWkRDCdqOJvpn42n1-uAECKf2nLOEf0kPCQxLWVVFBDudSpWSmQU/kkQtr2pyJuyMdKZQv_yxIpJsRbxubAPuhqiDsBWpx3A),24
"What are Metric Units Part 1
",MATH,6,Measurement,Convert metric units of length Part 1,https://drive.google.com/file/d/10XuJA4nfEIO9edFnld9OBoEzwPjINwAH/view?usp=share_link,What are Metric Units Part 1.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/_WgERJI0rOFZmvZUI_zWLw/CPWoYJWZtH-pyJxa4HOBtRdL_bcLax9q092yYILiNYICUDla8wZhKVpFIZm3ber8yj-J4aj-tigcX4v6HCaSedEP8Z6w-LsyLId-8kqovkvNoDmJY8u6AKYz-G6mRY_C/PiMA7SF9eNBD9uaGhmpZz8raKm8hUQ3xKr6ci42bld4),25
Choosing Plural Nouns,Language,K,Parts of Speech,Choose a Plural Noun,https://drive.google.com/file/d/10y4mdfEQCMp0_sT1dUSeTEp0dy8jG8yy/view?usp=sharing,Choosing Plural Nouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/CPXXO4P7NxwukAm5HBuXtA/4J5zT8Kcrr86a-FCFdiVFqob5DG7nzt4d53u5CjBV56kXIWu0yWsz61wlHTmacZsX9Sr9qsolCd136xsS8HWAgkp-8n2Sd5xWQxTJuX4HnM/d1wl-buUiQ1MMFOP-XzE1kE-FMIcNK9ob9VW5cfz7Yo),26
Choosing more Plural Nouns,Language,1,Parts of Speech,Choose a Plural Noun,https://drive.google.com/file/d/10y4mdfEQCMp0_sT1dUSeTEp0dy8jG8yy/view?usp=sharing,Choosing more Plural Nouns.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/_7Bq4lXlH-VLxGqjRAi4IA/WA8aDLg0E8TYfD7ZMcl96Fb1uj4pqS_c_x8N12GP3VJHbLOjY8k_MVl0A8rKPnjfjMRVLQFq7BIHwOZ4eUNH0JSDUozYWEqI8uKN-02GXaEIjQXsrG-egVJG2vqhf9fm/QydQ0RV7tdq_3ol2-MejvMMJKbjvaxAKf02BPSYrOdE),27
Identifying Block Numbers,MATH,1,Numbers,Identify the Block Number that Represents a Number 0 - 100,https://drive.google.com/file/d/11--H6WWJkEkzXMZ75wexi6ab4PUKg1V4/view?usp=sharing,Identifying Block Numbers.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/lLPozA9TJUMXp5gxCrbiVA/Qh6jbBLJ62j4hpXlP0Ndt2FaBinf7ZJM07Fn3GW6YVx2sSCVoTKqyJgz9bfdNOx74ypr9PZyYTPnuD42oDqtH5YKcAvNHffcm_ji1ElHZNz_5Yx7Qn8g55WvZCysH8jX/JaRFzgGvzHRYWQK-8RMH5LfAu2zou2GecTGN-jBQWcc),28
Let's Add multiples of 10,MATH,1,Addition and Subtraction Strategies,Add 10 to a multiple of 10,https://drive.google.com/file/d/113yWEwQ6ezQuQn1HzBwm7U-AZBl_px5Y/view?usp=share_link,Let's Add multiples of 10.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Fio0sr3JyNzk2JPz7OQjRQ/NqCCwSIp3W0CkC-rWYEfuJbHhiqcXU_73iTkdtGfUxbH2e0uf1j7QXvy7Uk7fYYCyv-XkkrV4oQDDsFMLQl_MDY83eHYGSR2cGe0MAcYlVg/4KK666deQfCZIndZDgi6PQzFyH4eOZzsNS9aen4f1EA),29
Adding Decimals,MATH,5,Operations,Add decimals Part 1,https://drive.google.com/file/d/11bH3vOIz1Vo0-PDCRrMToKVRotLhZ7Rd/view?usp=share_link,Adding Decimals.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/mjr-4tB9vuo_lsr4eSu9Iw/c5OiwlIjKS3RZ2-KirIGvZ_sACNlUjRRmw_04iIWdWNcxuvSvjdaugaKS9qbYeWcI-o-TYQbwhwXlynCkzNlmT6zrOKV2VyE41USH5u3nuQ/gee7Ec7f1LXgNGD2oYIh868P23-inCPaxvoit7B-JCM),30
What is Expanded Form,MATH,1,Addition and Subtraction Strategies,Use expanded form,https://drive.google.com/file/d/11F-gr-BzhUrnxRc_FOPeQHT-ncPLxiTk/view?usp=share_link,What is Expanded Form.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/TkdRsdJdGqJ6K9pNnKJqpQ/muPXnRnSpRhZKQ4kBd-CD5QP3RDRVmDjpsK9nJyHVkQ-w-dnL3OMaWSSeyjn6ta7wHQ5AruiSWsDIY15sAf86mRRdHN9LcSaX5x2ieBXnE4/8VsHRYQ-PPGv6MRymCeYuvqmQ0EdmHhFWwjrQmngzqU),31
Using Question Words,Language,K,Parts of Speech,Use Question Words,https://drive.google.com/file/d/11gzUI6aAnyovmcr11z8MXuiyPwiSewdG/view?usp=sharing,Using Question Words.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/P7Kt_OvxhZIFnVB7jDoJvg/7GH_RPLdIEoPdxFSRSIGR8FFyNG99tyfLJRohbYw9GwwJUJ3x8VWZch8y2G39BW8Foqy2myzPxR3d71EJ1zqXciSwPODm_Dq056vpVHeeBY/3A2XXvIkV2VMN9lI-QYvlaavIeDSp45EwYIS2jPyCcM),32
Identifying Action Verbs,Language,1,Parts of Speech,Identify Action Verbs,https://drive.google.com/file/d/11J8AooGksnHhKFbaIqfy6yQpxUztOpjZ/view?usp=sharing,Identifying Action Verbs.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/aMVedcI9US20DDI9nFnofA/mKoK8pBeukuOwqZuP4h9XPMl0FfH_OxunN3M1Xppbj8tM2-2HVj9oz9rkzkFHiXjWJvYRQp7APf5ioloMgo583C694y_e3T0uRtuNs-YumTVL05ESlgpld_f1c2f2_nN/zso-dqKjMDnssIb1jURR2-IulNaDqWRm_eJiBTkj-u8),33
"Capitalize the Pronoun ""I""",Language,K,Capitalization,"Capitalize the Pronoun ""I""",https://drive.google.com/file/d/11lJFj5YFTIx-l5palx-y2TxKZUdAlH_H/view?usp=sharing,Capitalize the Pronoun I.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Gsf72MmnsIGkUfGr8vcGtA/qjPBzOsvo_uMc8iPSWl87ZGyWP_XEOsHDEvY1-8EM8DKWHKiKs6keHRjt7fqj3CsImQmi68a4TevWIfrp1S3eEJ-aWPsiRRgvF87XF8wZrGJLd-n3qv0EwWtMgwsm_Rx/pL-fwIdIbRyOSIGIbC0Uv4muQpfspk8n6eO9qkInBD4),34
Adding Two-digit numbers,MATH,2,Add Multiple Digits,Add two-digit numbers with no regrouping,https://drive.google.com/file/d/11ONLvC9i-uyhkRFpOm54SkazNSgZSOal/view?usp=share_link,Adding Two-digit numbers.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/9wXzPXVokdvWRfphKdvUkw/tjFjQDN8j3h3si3thiNUhuz5psiKRFB7G9umgKhwfJdVG7dkv8pYQzBaXex7LlV0qtrZefl_E9P1mao-lm8x54nL8nUfbbdBuzUgSgrUi9-CbGZQmvPyz9XTumHVroud/n5INOu_QYfH0a6859M8BUPi7z6tvGdjpTGuXUOWi4ug),35
Multiply by 9,MATH,4,Multiplication Facts,Multiply by 9,https://drive.google.com/file/d/11qy8QdkjYURyRslnpqZet8Y2KFkaPKL_/view?usp=share_link,Multiply by 9.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/ojl9nVZ8s6XJ0mYz1-M_1Q/chfa2kV6AwQHecpfCb449vybwCNQiA0vZ_WHMUtsZDr5ROQkSQ4zNiKJfMKoI2JOZp5eaEn6xXST1FWkYs9U4I2zVOOmyS4DLdJc5ozuhgM/RSSfRBJe7tzO_s_dqGDqbtwHeybPA8BWButKJafcqLg),36
Let's skip count by 10s,MATH,2,Numbers,Skip count by 10s from multiples of 10,https://drive.google.com/file/d/11vPbAHYEHBQ6LNxUxRo17Bgs7SXbZ3-4/view?usp=share_link,Let's skip count by 10s.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/TUqhZiaO4iOEgqQ0u8T7Hw/NtKiY77JvWonNY2jZvcOfqOwNgQ6vSSHSnTE0eXkq3IIoJtaYjM_j54L25V_LYiQPA9U9c5t8IzW_D_8U0uPbpyTFMehM-2ZzIX1Ejkw-Uw/AICz9y5Y8nsM3Jnm10xRrzVgF8s9P_kgIVASEwM2MpU),37
Learn block numbers (6 to 10),MATH,0,Counting 0 to 20,Learn block numbers (6 to 10),https://drive.google.com/file/d/12_GBNCLGsyb615vQtw4Hu-gTRyxtGlZR/view?usp=sharing,Learn block numbers (6 to 10).pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/sLKRodH_VlrT1D8dXqA4sQ/baLJDHZ0JtWM3KN0qkkN_ldbK3CP8n3xwpJEX52tk4emORU2kGA8fi67VDbjJRYAToNZKVRDM2ZlAEkPoMmbTDdsCy3rmCNmptUfHoK6fOCcLVaTU6V0g5o9-UeQHIUh/VeFnXQx2c-pqr0MfXJ-l4qcfWesQGQkbxLZLCHRN5zY),38
Writing multiplication equations from images,MATH,3,Operations,Write multiplication equations from an image,https://drive.google.com/file/d/128nRnP8ZBfqYAbZYRFCaY2nQGXa1HM8w/view?usp=share_link,Writing multiplication equations from images.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/R80Gn4UnKs9_HPuB8a6_TA/O091dWwIDvbhC8LhcLAVqLTeVbyUZRrwf99WybZzlygK5LLdquIxg1KKwDmm2aIRzp68__sPWjxu4FVQbkiIKc6KQAWsxJeQtIrjbogpFfhhh-y7HJ9OEYH4rO7U2AAr6pAe9n02xIxNxJSPKB12eg/dKUh3AvoskQnCF82l4k2gvr7GMyoxqzktf7ZBg_-O-M),39
Identify names of numbers (16 to 20),MATH,0,Counting 0 to 20,Identify names of numbers (16 to 20),https://drive.google.com/file/d/12BAqoSSDdmtxKXn_Out_k8mwIo9zoHAF/view?usp=share_link,Identify names of numbers (16 to 20).pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/_6QEeWvEUNfzb7SaPy2nBA/xXRPzCPsPM6GwxUMKbzPZzXxWasy8Uk_Ldb8XDk127KOC2cOsiHkL9W04e5vGopIIePFhP25rmPluNQuE1iWSwK2UPZusxc4MON0ggpPQCo29Sh1lHUF2sQC9i0n2F7C/Y5ZRn_cj2MkMDrTphXVt7yOsGaFDV5ySJ1xo9sU3FpM),40
Identify Compound Words,Language,2,Vocabulary Strategies and Use,Identify Compound Words,https://drive.google.com/file/d/12BPYaAD-ebiDK-5K5UKwGW7VMw74L4wr/view?usp=sharing,Identify Compound Words.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/8_oXNcRX7v6UDKcvGC45EA/m3_K-icsHw2x06o5MKml4RTRbfGti-WCBAN5Ys0-Y8JrThhO9Q21Sea5tklnPcA22_8j1oQaSagMaj6Slgmf02Lf6jwHragfhBhnSP58jISgnXflSREGyambPJdyfHcB/bzgNgkYpfc9NQXjg7S6_18sJf7khRwxbQvhxRRummfw),41
Choose the Correct Homophone,Language,5,Figurative and Descriptive Language,Choose the Correct Homophone,https://drive.google.com/file/d/12d_2wssVeNNMafhoKweD7ZA2t0p3yFJ2/view?usp=share_link,Choose the Correct Homophone.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/3vi3xadBJhSuV1YY_asOsQ/sAm2qXgkegUpNCu2TyIWb3xoQ78ntg_AtNJKmQJlLInE3CF1bb5gQuuGCX9HgqKP6lqaGAFMetdJJej4ws8Si6i24d8b_QUJ6e2HoP2d51c16gC6qhRW5lhJAyxaHf9o/9299yfZK92nrfcQWuLutq8mpe34F3XXSyBc_U-8AMko),42
Using Time Words to Tell Time,MATH,2,Life Skills,Use Time Words and Tell Time to the Quarter-Hour,https://drive.google.com/file/d/12DOh7TKXqa83MyTJvLXpQtWeHiGAphu3/view?usp=share_link,Using Time Words to Tell Time.pdf (https://v5.airtableusercontent.com/v1/15/15/1677168000000/k-PwtuNcwvLJpaXkT9BXuw/dMR7gZTjkrH38dgU7CZVD8ZkX_Gv8IrDpAm6iM87i-KRRm9nAJW3tcgjgwY1ccN-5KRlu-4pXu_zptqWmV1Y4Jj2muE33k8T-ntOQYcyzPEzh687ZHzDo7JQRwmH1W9r/WyDXBQFPaqDxpLpKlEIKu8Uf6hdnqYb8m4AJNZ11BRE),43
