Title,Grade,Tag,Content,Images,ID
Different Parts of the Day,K,Rhyme,"Verse 1:
Wake up, wake up, it's a brand new day
Brush your teeth, comb your hair, it's time to play
Breakfast time, let's eat some cheerios and milk
Then it's time to get dressed, let's pick out something silk.

Chorus:
It's a new day, it's a new day
Let's make the most of it, in every single way
It's a new day, it's a new day
Let's have some fun, and dance and play.

Verse 2:
School time, school time, it's time to learn
Listen to the teacher, and do your best to earn
Lunch time, lunch time, it's time to eat
Let's fuel our bodies, so we can be at our best seat.

Chorus:
It's a new day, it's a new day
Let's make the most of it, in every single way
It's a new day, it's a new day
Let's have some fun, and dance and play.

Verse 3:
After School, after school, it's time to play
Let's run around outside, or stay inside and play
Dinner time, dinner time, it's time to eat
Let's have a nice meal, and share some stories sweet.

Chorus:
It's a new day, it's a new day
Let's make the most of it, in every single way
It's a new day, it's a new day
Let's have some fun, and dance and play.

Verse 4:
Bedtime, bedtime, it's time to sleep
Close your eyes, and count some sheep
Sweet dreams, sweet dreams, till the morning light
Tomorrow's a new day, and everything will be alright. 

Chorus:
It's a new day, it's a new day
Let's make the most of it, in every single way
It's a new day, it's a new day
Let's have some fun, and dance and play.",Different Parts of the Day.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/g8Tqnf59dkdshKz8iTeyTQ/XJIJw2s9f9fzSMOIlPeh3cFseo0FARyHPjPkmWMVY4S8wmHu9zeNv_u81ja78tcAnAHlC60jNEYWmtDZn0Wu9DYRszsHgFd6l6FncAgJtZQj4FxEY_cx42WI6QgxLd7O/VZT5ST_zPU7NXP5nlX3xANHpEgE8Jv6-zEBFZCkSuRU),11
Parts of Speech,K,Rhyme,"Nouns are names of people, places or things.
Verbs show action or state of being.
Adjectives describe nouns and pronouns.
Adverbs modify verbs, adjectives, or other adverbs.
Pronouns stand in four nouns.
Prepositions show relationships between nouns.
Conjunctions join words or clauses together.
Interjections are exclamations that show emotion. ",Parts of Speech.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/y0kKXUYzdlHoOTi18d9iiw/RnP474q9flGM_clqDs2bK1pLuart_rP7n3RXun15iUhmPIaUGPz3fEBju2qCrVFqd2OnQqOeQkjoMiMYjxPxM6uF25J-d5qrXvIUoUmz6nY/Sq0rRCX40vhHi2aNLCLHhUN4RshhH9wh-nrVQFj14Go),12
Riddles for Toddlers,K,Riddles,"- I have no legs. I never walk. I always run. What am I?

Answer - River.
- I start with 'P' and end with 'E', but I have thousands of letters. Who am I?

Answer - Post Office.
- I am the biggest alphabet, as I contain the most water in the world. Who am I?

Answer - C.
- I will always come, never arrive today. What am I?

Answer - Tomorrow.
- I am full of keys, but I can't open any door. What am I?

Answer - A Piano.
- I have foot, but there are no legs. What am I?

Answer - A Snail.
- I always come down and never go up. What am I?

Answer - Rain.
- I have no life but I can die. What am I?

Answer - Battery. 
- I don't have eyes, ears, nose and tongue. But I can see, smell, hear and taste everything. What am I?

Answer - Brain.
- If you give me water, I will die. What am I? 

Answer - Fire.",Riddles for Toddlers.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/LmVpdHQuvAdsZpP0SBKHqg/gEZsP7Dm4nHKo93LgUvu6TgMqPjnGEVs81NS-0qeSixZLJBg4gg7pZOfcP4zBO56zvpaeWh98_qjDGVHjVYn3WQNSxXFhAcdVq763PDL9EU/xG2FqmWSt15ezS8nNRPp_J2ZzCDpXTgGy3EOgiNsTqw),13
The Numbers Song,K,Rhyme,"Verse 1:
One, two, three, four
Counting numbers, what's in store
Five, six, seven, eight
Let's count together, won't be late

Chorus:
Numbers, numbers, everywhere
From one to ten, they're always there
Counting, counting, all the time
Numbers make our world so fine

Verse 2:
Eleven, twelve, thirteen, too
Counting numbers, so much to do
Fourteen, fifteen, sixteen, wow
Let's keep counting, don't take a bow

Chorus:
Numbers, numbers, everywhere
From one to ten, they're always there
Counting, counting, all the time
Numbers make our world so fine

Outro:
Twenty, thirty, forty, more
Counting numbers, always a score
Fifty, sixty, seventy, great
We've counted all the numbers, isn't that great!",The Numbers Song.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/jxtv9OgjCmP5_q3mJ_X3xw/PCVEMNZyPyG2BlUjVWGeVwwlCgJtKqxRKvv-N96LuE8Wy5F4Gu8WZBiJ0ltxE-Q7I1HEFnPMnNJ35jkIu-OUIGuBXSHu2ikdu89F3xHu_BQ/am3ReWgSnhf45D9W5HVGknegbXWK_n_vkq8YdXAa8_Y),14
A Story of Twins,K,Short Story,"Once upon a time, there were two identical twin brothers named Max and Mike. They looked exactly the same, but they had very different personalities. Max was kind and generous, always willing to share his things with others. Mike, on the other hand, was greedy and selfish. He always wanted more and never wanted to share.
One day, their parents gave them each a toy. Max was thrilled and immediately gave his toy to his little sister. Mike, however, kept his toy for himself and wouldn't even let his brother play with it.
As they grew older, the twins' differences became even more pronounced. Max would always help his classmates with their work and give them his lunch when they didn't have any. Mike, however, would cheat on tests and steal other kids' lunches.
Despite their different ways, the brothers were still close. Max would often try to teach Mike the importance of sharing and kindness, but Mike just couldn't change his greedy ways.
As they entered adulthood, Max became a successful businessman, known for his fair and generous business practices. Mike, however, struggled to find success as his greediness cost him many opportunities. He ended up working a low paying job and living a lonely life.
In the end, Max learned that money and success were not as important as kindness and generosity. Mike, on the other hand, realized too late the true value of these qualities and the cost of his greed.

The moral of the story is, greed may bring temporary pleasure but it will eventually lead to a lonely and unhappy life. Generosity and kindness will always bring true happiness and fulfillment.",A Story of Twins.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/HSGyDXOpXywV_BBmIW-cCQ/mgUgTrW0WyM_tMHZuFe0adBzpvkhHe5PuOCFKpBUaq67oM-sklVdtCKNeviuGK9QQBWHm-YIXmX87xJfg_Zo31PyG6qVv9-eFj3qcIWV5iM/Wg1i_PihcM7X_1nQWS7rJzYZrrr-ufjAl9ZuPUF6Nj4),15
Honesty,K,Rhyme,"Honesty is the best policy,
It's a quality that we should never lack.
It helps us to be true to ourselves,
And it's something we should never slack.

With honesty, we can build trust,
And create friendships that will last.
It's a trait that will take us far,
In our personal and professional past.

So let's strive for honesty every day,
In all that we do and say.
It's a virtue that will never steer us wrong,
And it's one we should all aspire to be strong.",Honesty.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/zkN9YfHDSaPyew7YUzAqPA/jsZnYMqQBCIEONLh0O2AZ_NDw6_zjliNYu6uA9MTGpZ93uVVdNNuiVUIzEZT3TstDZiidn2TKcIs_JbsWvBU3GIWhq_GU15dbFUgd9nOlu4/x913mc6RL_wA2n350ttTdObfHdny9vW4CCliGHZfGac),16
Andy - The Ant,K,Short Story,"Once there was an ant named Andy who lived in a bustling ant colony deep in the heart of the forest. Andy was a hardworking ant, always busy gathering food and tending to the needs of the colony.
One day, Andy was out searching for food when he stumbled upon a juicy ripe strawberry. It was the biggest strawberry Andy had ever seen, and he knew it would be a great feast for the entire colony.
Excitedly, Andy picked up the strawberry and began the long journey back to the colony. As he walked, he encountered all sorts of obstacles, including thorns, twigs, and even a few pesky flies. But Andy was determined to bring the strawberry back to the colony, and he preserved it through it all.
Finally, after what seemed like an eternity, Andy made it back to the colony with the strawberry in tow. The other ants were overjoyed at the sight of the delicious treat, and they all feasted on the strawberry together, grateful to Andy for his hard work and determination.
From that day on, Andy became known as the bravest and most selfless ant in the colony, and he was always the first to volunteer for any important tasks that needed to be done. And although he was small, Andy proved that with hard work and determination, anyone can achieve great things.",Andy - The Ant.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/FT0MVOVanagfevZctmWetw/i83unE6ui6MjrdtR7_102EBKDUtFFlTzx6mFjM_HRtBTR4q_lJqooZoaERcmdvNdHTt18w_cL-aJ8SMZ5-x5txTH7IHVODacOZSSUwdAxzE/iv2fUNpzmlPqnxPYxMVHUN7muTcSVfkvgozCSVk_Lfo),17
Listen to Your Parents,K,Advice,"It is important to listen to your parents because they know what is best for you and want you to be happy and safe. 
They have your best interests at heart and want to help you make good choices. 
When you listen to your parents, you show them that you respect and trust them. 
This can help build a strong relationship between you and your parents, which can make you feel loved and supported. 
Listening to your parents can also help you learn valuable lessons and skills that will be useful to you throughout your life. 
So next time your parents give you advice or ask you to do something, try your best to listen to them and follow their guidance.",Listen to Your Parents.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/-bguW2XN5b_yhQ2LilEp6A/ur1WqfdWaAo4dVh8l9KYjw6j8UVNsSu_71XS4YBDhMy7rE91ipi52iasOlhMdAAIMrPPqELMiqxCT9Bs8e4WJSQ4dfb7zXgj8y-Dmnf8OkY/MSbVvW1kyHjMqnrJl74qrwJEil3ocOg8U_ijEzPvVCQ),18
Days of the Week,K,Rhyme,"Monday, the start of the week,
A fresh new beginning, a chance to seek. 

Tuesday, a day to get things done,
Make progress and have some fun.

Wednesday, halfway through the week,
Hump day, time to peak.

Thursday, almost to the end,
Just a little more and the weekend begins.

Friday, the best day of the week,
The workweek's over, time to speak.

Saturday and Sunday, the weekend's here,
Time to relax, kick back, and cheer.",Days of the Week.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/A6fwR4yF5Ec6IZ4DyuY72Q/yF5Z-Hvd2cnzec-Z4eN1_F3qH0H966w_0Yw2jdp_YERGKn6CiCqwm26yYC6cMAUj7WEDcPICOEmRgVFjSJzC9vHZy25xB8uRZOn0ziUTzTs/sqINB1-OfW2wBkYt6shTnza5NBkwiAmrhzH050jXsQs),19
The Beautiful and Selfless Butterfly,K,Short Story,"Once upon a time, in a beautiful flower-filled garden, lived a tiny butterfly named Bella. Bella was the most stunning butterfly in the garden, with bright orange and yellow wings that sparkled in the sunlight.
Bella would fly from flower to flower every day, collecting nectar and spreading joy wherever she went. Bella was adored by the other butterflies in the garden, and they would often gather around her to listen to her stories and songs.
Bella noticed that the flowers in the garden were beginning to deform and fade one day. She noticed that the bees, which usually cultivated the flowers, had vanished. The flowers would not be able to grow and produce new seeds if bees were not present.
Bella realized she needed to do something to help. She flew from flower to flower, attempting to grow the plants all on her own. It was exhausting work, but Bella was confident about saving the flowers.
Bella noticed a swarm of bees huddled together in a garden corner as she flew. She flew over to investigate and discovered that the bees were all sick. Bella knew she had to help them as well.
She returned to the flowers and collected as much nectar as she could carry. She then returned to the bees and gave them the nectar. The bees began to feel better after drinking the nectar.
The flowers in the garden began to bloom again as a result of Bella's efforts, and the bees were able to grow and harvest them once more. Bella was praised as a hero as the entire garden was filled with the colors and scents of spring.
Bella became known as the most kind and selfless butterfly in the garden from that moment on. She flew from flower to flower, spreading joy and assisting wherever she could. And the garden's flowers and bees lived happily ever after.",The Beautiful and Selfless Butterfly.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/-SXZtaJbmx4pdCB7AaUHrQ/m-tbBcxko_IW9js6CfJpGvpOpnRHe2UCGHRyTJJqCDTzbJpWExasCRIHqELH2jYArVDclIxszgiUaXSLIOk_pyZHuypR9-0R2f6NWugxHITVY4YJZTxLxZYAXhq0NIPu/2rYGR3vtRF8NlQ930Uu8zBB4QtRRIJQymX10IniX1Xo),20
"Rain, Rain, Come Our Way",K,Rhyme,"Rain, rain, come our way
Falling from the sky, all day
Splashing in the puddles, oh what fun
I'll jump in them, until I'm done.

Rain, rain, tap tap tap
On the roof, it's a nice little lap
I'll dance and sing, in my raincoat red
Until the rain goes back to bed.

Rain, rain, go away
But come back to play another day
I'll be waiting, with my boots and hat
For more fun, where the rain is at!","""Rain, Rain, Come Our Way.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/gJN9o_oBCdS04RmnldsLBA/A0J4CfF6THW9VYyXLyOd4_qqWPfU6nhOTI6TT76MFdUCUgq7uQepoOKq-XAiDRZRPqjA4l29zcq6veA3-vP6BjoTF8g2xX-V03ELJnqLNtU/9spk7Bj7yaYUC9EuliqfzRyfVgYKIYuliX_PLw01GKc)""",21
Rhyming in Alphabetical Order,K,Rhyme,"A is for the apples that grow on the trees,
B is for the birds that fly in the breeze,
C is for the cats that chase after mice,
D is for the dogs that bark and entice.

E is for the elephant, big and grand,
F is for the fish that swim through the sand,
G is for the grapes that grow on the vine,
H is for the horses that run so fast.

I is for the igloo, made of ice,
J is for the jellyfish that swim so nice,
K is for the kangaroo, hopping with glee,
L is for the lion, majestic and free.

M is for the moon that shines up above,
N is for the nightingale, singing with love,
O is for the octopus, eight tentacles strong,
P is for the penguin, waddling along.

Q is for the queen, ruling with grace,
R is for the rabbit, running in place,
S is for the sun, shining so bright,
T is for the turtle, moving with might.

U is for the umbrella, protecting from rain,
V is for the volcano, spewing ash and flame,
W is for the whale, swimming in the sea,
X is for the x-ray, helping you to see.

Y is for the yolk, found in an egg,
Z is for the zebra, running like a leg.",Rhyming in Alphabetical Order.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/sUUr1qwknkNAb1cfDK7-dA/uSr8veyHTq4l6hKRbSGQmu4ohQNXgvxsyVa56PuhPZQtLH4soQBfVTHQKBfrSTCQxJzXSVoegIlz8zkiaGxVS9T-Zxv4wnT9iaU1afm7uTSsKam7OuYFMYRtjhmoR6bT/K73tRdCCIkxlvO2zVKVxs4uaKzOOQzSd9IuVUrzhrv8),22
The Secret of Happiness,K,Short Story,"Once upon a time, in a far-off land, there lived a little boy named Beck. Beck was always looking for the secret of happiness. He asked his parents, his teachers, and even his friends, but nobody could tell him what it was.
One day, while Beck was out playing in the park, he met an old man sitting on a bench. The old man had a kind face and a twinkle in his eye. Beck asked him, ""Do you know the secret of happiness?""
The old man smiled and said, ""Yes, I do. The secret of happiness is to do something kind for someone else.""
Beck was puzzled. ""But how will that make me happy?"" he asked.
The old man replied, ""When you make someone else happy, it brings joy to your own heart. It's like a magic trick! The more you give, the more happiness you will receive.""
Beck thought about this for a moment and then had an idea. He ran back to his house and grabbed a bag of cookies he had baked with his mom. He brought them to the park and shared them with all the children playing there.
As he watched the children enjoy the cookies, Beck felt a warm feeling in his chest. He realized that the old man was right! By making others happy, he had found his own happiness.
From that day on, Beck made it his mission to spread kindness wherever he went. And he lived happily ever after.",The Secret of Happiness.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/1a1R6_hE3k71r-BG1d8s7A/5254-8Q052KBOT0nXLEPPqbAGhLFlrDLrVQ60bxsP_phucsF7bAOtYb-qdNRLqPlGAnE5LrZIcYrmvi4hfz0yzZd_lc6SPwIDws5wGSxqgA/1KbzpjqUDu6ntWpuhAWAQ4a1pDpAyN3YDBNDXkqCy_s),23
Incy Wincy Spider,K,Rhyme,"Incy Wincy Spider climbed up the spout,
Down came the rain and washed the spider out.
Out came the sun and dried up all the rain,
Incy Wincy Spider climbed up the spout again.",Incy Wincy Spider.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/-5C1UlZjRgNOxOtsCjIs_A/hpcNyhd5Tpo4DsITwlzxqvthAzmSUcVgj_I8INEbOoPqOT8D1w1yVnf2BzQMYJlA4llXQoGmbpRCMWXoKhA1XedlB-X5JyfLEhBazgFU69c/Nr9ygFmhOzs2-l5WQwHhsf87rAGeX_Ub1Gy81n0sWY0),24
A Greedy Man and Golden Eggs,K,Short Story,"Once upon a time, in a small village, there lived a greedy man named George. George had a special hen that could lay golden eggs, but he was never satisfied. He wanted more and more golden eggs, and he didn't care how he got them.
One day, George decided to take all of the golden eggs that the hen had laid at once. He thought if he took them all, the hen would lay more faster. But when he opened the hen's nest, he saw that the hen was lying there, weak and sick.
Feeling guilty, George realized that by taking all the eggs, he had hurt the hen and that was not right. He promised to be more patient and to only take a few eggs at a time, so the hen could rest and lay more eggs in the future.
He learned that greed only brings harm and that true happiness comes from being content with what we have. From that day on, George was happy with the eggs he received and he and the hen lived happily ever after.",A Greedy Man and Golden Eggs.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/Yg97hxK4dm1fRjG_pmXEMw/DoYcJ9UyvfKzoNdwZan80w2znS0cxYR7fuELjTMrWsPftCZnoYU5YcTyCrWa9qjQy5NNsLd_XzF5ADrzqG41xaD5IMM0-iNulMJmnP9i8ZxAwKbZQhmZWRu-pQVmo7QU/wqgWmtkZg17Np8oPPBZeitq5J0H868Q4MInBtUhHOaE),25
A Cat and a Mouse,K,Rhyme,"A cat and a mouse,
Lived in a little house.
The cat chased the mouse,
All around the house.
The mouse was quick,
But the cat was slick,
The mouse ran away,
But the cat just lay,
Waiting for another chance,
To play this little dance. ",A Cat and a Mouse.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/bgm_Z9ocvjOEuq0bVs4CXw/eliBzjiVhBtL0zcnVX3xWCdAwXQHOBU-OXbZc4xryOMOgxHQEUB09xJNyQlHSLL6pGkqLzilj8N4hHstTjy8HqWjocCAHl0TT_Sv8-z0BfA/QHhC8AZscCO3kSMvVXPiArD9nsN8QI5oOu8nB9t1SmI),26
Winter,K,Rhyme,"Winter, winter, cold at bright
Frosty mornings, a snowy sight
Bundled up in layers of wool
I brave the chill, and stay cool.

Ice skating on the frozen pond
Sledding down the hills beyond
Drinking hot cocoa by the fire
Winter's fun, I never tire.

But as the days start to grow long
I'll shed my coat, and sing a song
Spring is near, and with it brings
New adventures, and joyful flings.",Winter.png (https://v5.airtableusercontent.com/v1/15/15/1677168000000/S668BFnW0yRPRkBtXFMzGQ/QW6NKyX0cd8UbGrAdFAJuMQV118g5KH3C1yz0Yur2_nLy9uA2ePr7ZZhACavtMvIFK12H1vzm-nEm2NP3wfrk-dz99Nd4jAyOJ0i_Qdrcew/9dX0DlvKSnDSLWKb91rt8hPPAQi3RAllFaUQz0kTsFA),27
